Date : 2021-07-25 13:40:42
Directory : /home/mahdi/Desktop/finwise/finwise
Total : 2851 files,  214348 codes, 15214 comments, 14006 blanks, all 243568 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/beats-electronics.svg                                                                    | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/biman-airlines-classic-logo.svg                                                          | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/bookingcom-1.svg                                                                         | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/bootstrap-4.svg                                                                          | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/bootstrap-5.svg                                                                          | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/bose.svg                                                                                 | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/bp-3.svg                                                                                 | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/brantano.svg                                                                             | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/bride.svg                                                                                | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/british-council-1.svg                                                                    | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/brondi.svg                                                                               | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/campingaz-1.svg                                                                          | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/canon-logo.svg                                                                           | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/carrols.svg                                                                              | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/casio.svg                                                                                | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/caterpillar-2.svg                                                                        | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/citrix-6002.svg                                                                          | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/codeigniter.svg                                                                          | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/comcast.svg                                                                              | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/conair.svg                                                                               | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/costa-2.svg                                                                              | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/costco-wholesale-logo.svg                                                                | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/css-5.svg                                                                                | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/decathlon-logo.svg                                                                       | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/deloitte-1.svg                                                                           | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/depend.svg                                                                               | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/diesel-5.svg                                                                             | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/django-community.svg                                                                     | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/dribbble-icon-1.svg                                                                      | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/dribbble-pink.svg                                                                        | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/duolingo.svg                                                                             | XML          |          3 |          0 |          1 |          4 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/dynamac.svg                                                                              | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/ebay.svg                                                                                 | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/ember.svg                                                                                | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/envato.svg                                                                               | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/espacio-urbano.svg                                                                       | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/etoys-com.svg                                                                            | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/facebook-1.svg                                                                           | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/facebook-2.svg                                                                           | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/facebook-3.svg                                                                           | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/farmers-insurance-3.svg                                                                  | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/figma-1.svg                                                                              | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/friday-s.svg                                                                             | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/funding-circle.svg                                                                       | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/garmin-1.svg                                                                             | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/general-electric.svg                                                                     | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/github-1.svg                                                                             | XML          |         11 |          1 |          1 |         13 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/github-2.svg                                                                             | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/github-icon.svg                                                                          | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/gitlab.svg                                                                               | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/google-icon.svg                                                                          | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/google-photos.svg                                                                        | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/google-play-store.svg                                                                    | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/google-podcasts.svg                                                                      | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/google-tag-manager.svg                                                                   | XML          |         17 |          1 |          1 |         19 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/gradiente-2.svg                                                                          | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/gulp-1.svg                                                                               | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/gulp.svg                                                                                 | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/hbo.svg                                                                                  | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/heavylift.svg                                                                            | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/hilton-buenos-aires.svg                                                                  | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/himel.svg                                                                                | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/honda-7.svg                                                                              | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/hp-2.svg                                                                                 | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/hp-hewlett-packard.svg                                                                   | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/html5.svg                                                                                | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/huggies-2.svg                                                                            | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/ikon-1.svg                                                                               | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/instagram-2-1.svg                                                                        | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/instagram-2016.svg                                                                       | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/intermarche-2.svg                                                                        | XML          |         52 |          1 |          1 |         54 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/invision.svg                                                                             | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/javascript-2.svg                                                                         | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/javascript-4.svg                                                                         | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/javascript.svg                                                                           | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/jelcz.svg                                                                                | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/jfits.svg                                                                                | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/jquery-2.svg                                                                             | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/jquery.svg                                                                               | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/keysight-logo.svg                                                                        | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/komatsu-3.svg                                                                            | XML          |         37 |          1 |          1 |         39 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/koni-special.svg                                                                         | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/last-fm-1.svg                                                                            | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/leclerc-1.svg                                                                            | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/legrand.svg                                                                              | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/leica-2.svg                                                                              | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/levis.svg                                                                                | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/lg-electronics.svg                                                                       | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/lidl-supermarkets.svg                                                                    | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/linkedin.svg                                                                             | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/lloyds-of-london-logo.svg                                                                | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/maxis-communications-logo.svg                                                            | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/metro-1.svg                                                                              | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/metro-4.svg                                                                              | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/metro-by-t-mobile.svg                                                                    | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/microsoft-5.svg                                                                          | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/miller-6.svg                                                                             | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/minol.svg                                                                                | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/mnd.svg                                                                                  | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/msn.svg                                                                                  | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/mysql-2.svg                                                                              | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/nestle-4.svg                                                                             | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/new-beko-logo.svg                                                                        | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/nike-4.svg                                                                               | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/node-sass.svg                                                                            | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/noht.svg                                                                                 | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/npm.svg                                                                                  | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/ocaml.svg                                                                                | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/oger-tours.svg                                                                           | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/origin-4.svg                                                                             | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/paypie.svg                                                                               | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/pinterest.svg                                                                            | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/puma-logo.svg                                                                            | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/python-5.svg                                                                             | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/quilosa.svg                                                                              | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/react-native-firebase-1.svg                                                              | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/react-router.svg                                                                         | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/react.svg                                                                                | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/redbull.svg                                                                              | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/sass-1.svg                                                                               | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/seat-pg.svg                                                                              | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/sentry-3.svg                                                                             | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/shell.svg                                                                                | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/siplast.svg                                                                              | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/slack-new-logo.svg                                                                       | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/slack.svg                                                                                | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/snowbird.svg                                                                             | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/soriana-logo-1.svg                                                                       | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/sparkpost.svg                                                                            | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/spotify-2.svg                                                                            | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/spotify-logo.svg                                                                         | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/sprint-nextel.svg                                                                        | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/stabilo.svg                                                                              | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/strava-wordmark-1.svg                                                                    | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/stream-1.svg                                                                             | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/super-cuts.svg                                                                           | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/suzuki-motor-corporation-logo.svg                                                        | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/suzuki.svg                                                                               | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/syngenta.svg                                                                             | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/tempstar.svg                                                                             | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/the-blockchain-group-tbg.svg                                                             | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/thomas-1.svg                                                                             | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/thuisbezorgd.svg                                                                         | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/thule-2.svg                                                                              | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/ticketmaster-5.svg                                                                       | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/tofas-logo.svg                                                                           | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/trimble-2.svg                                                                            | XML          |         54 |          1 |          1 |         56 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/trivago.svg                                                                              | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/twitter.svg                                                                              | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/unilever-2.svg                                                                           | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/university-of-cambridge.svg                                                              | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/urw-software.svg                                                                         | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/verizon-2015.svg                                                                         | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/vimeo-icon.svg                                                                           | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/visa.svg                                                                                 | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/vue-9.svg                                                                                | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/vype.svg                                                                                 | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/webasto-logo.svg                                                                         | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/webpack-icon.svg                                                                         | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/webpack.svg                                                                              | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/west-marine.svg                                                                          | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/worth.svg                                                                                | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/xing-icon.svg                                                                            | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/youtube-3.svg                                                                            | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/youtube.svg                                                                              | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/ziprecruiter-blacktext.svg                                                               | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/logos/zurich-logo.svg                                                                          | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/misc/001-recycling.svg                                                                         | XML          |         55 |          1 |          1 |         57 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/misc/002-eolic-energy.svg                                                                      | XML          |         50 |          1 |          1 |         52 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/misc/003-puzzle.svg                                                                            | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/misc/004-retweet.svg                                                                           | XML          |         54 |          1 |          1 |         56 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/misc/005-bebo.svg                                                                              | XML          |         41 |          1 |          1 |         43 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/misc/006-plurk.svg                                                                             | XML          |         46 |          1 |          1 |         48 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/misc/007-disqus.svg                                                                            | XML          |         48 |          1 |          1 |         50 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/misc/008-infography.svg                                                                        | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/misc/009-hot-air-balloon.svg                                                                   | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/misc/010-vimeo.svg                                                                             | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/misc/011-swarm.svg                                                                             | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/misc/012-foursquare.svg                                                                        | XML          |          1 |          0 |          0 |          1 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/misc/013-rgb.svg                                                                               | XML          |         58 |          1 |          1 |         60 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/misc/014-kickstarter.svg                                                                       | XML          |          7 |          1 |         16 |         24 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/misc/015-telegram.svg                                                                          | XML          |          8 |          1 |         16 |         25 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/misc/clouds.svg                                                                                | XML          |          3 |          0 |          1 |          4 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/patterns/aare.svg                                                                              | XML          |         28 |          0 |          1 |         29 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/patterns/rhone-2.svg                                                                           | XML          |         29 |          0 |          1 |         30 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/patterns/rhone.svg                                                                             | XML          |         32 |          0 |          1 |         33 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/patterns/taieri.svg                                                                            | XML          |         13 |          0 |          1 |         14 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/shapes/abstract-1.svg                                                                          | XML          |         16 |          0 |          1 |         17 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/shapes/abstract-10.svg                                                                         | XML          |          9 |          0 |          1 |         10 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/shapes/abstract-2.svg                                                                          | XML          |          5 |          0 |          1 |          6 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/shapes/abstract-3.svg                                                                          | XML          |         13 |          0 |          1 |         14 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/shapes/abstract-4.svg                                                                          | XML          |         11 |          0 |          1 |         12 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/shapes/abstract-5.svg                                                                          | XML          |         14 |          0 |          1 |         15 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/shapes/abstract-6.svg                                                                          | XML          |          3 |          0 |          1 |          4 |
| /home/mahdi/Desktop/finwise/finwise/frontend/public/media/svg/shapes/abstract-7.svg                                                                          | XML          |          9 |          0 |          1 |         10 |
