Date : 2021-07-25 13:40:42
Directory : /home/mahdi/Desktop/finwise/finwise
Total : 2851 files,  214348 codes, 15214 comments, 14006 blanks, all 243568 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| frontend/src/assets/plugins/formvalidation/src/js/plugins                                                                                                    |         44 |      3,150 |        609 |        567 |      4,326 |
| frontend/src/assets/plugins/formvalidation/src/js/utils                                                                                                      |          8 |        174 |         89 |         39 |        302 |
| frontend/src/assets/plugins/formvalidation/src/js/validators                                                                                                 |        131 |      5,471 |      1,684 |        788 |      7,943 |
| frontend/src/assets/plugins/formvalidation/src/js/validators/id                                                                                              |         42 |      1,713 |        538 |        185 |      2,436 |
| frontend/src/assets/plugins/formvalidation/src/js/validators/vat                                                                                             |         38 |      1,310 |        425 |        179 |      1,914 |
| frontend/src/assets/plugins/keenthemes-icons                                                                                                                 |         72 |      3,541 |         75 |         77 |      3,693 |
| frontend/src/assets/plugins/keenthemes-icons/font                                                                                                            |          4 |        529 |         11 |         11 |        551 |
| frontend/src/assets/plugins/keenthemes-icons/svg                                                                                                             |         68 |      3,012 |         64 |         66 |      3,142 |
| frontend/src/assets/sass                                                                                                                                     |        191 |     18,439 |      2,248 |      3,955 |     24,642 |
| frontend/src/assets/sass/base                                                                                                                                |         11 |        160 |         41 |         44 |        245 |
| frontend/src/assets/sass/base/functions                                                                                                                      |          4 |         97 |         14 |         26 |        137 |
| frontend/src/assets/sass/base/mixins                                                                                                                         |          5 |         52 |         21 |         14 |         87 |
| frontend/src/assets/sass/components                                                                                                                          |         82 |      9,553 |      1,108 |      2,067 |     12,728 |
| frontend/src/assets/sass/components/forms                                                                                                                    |          1 |        212 |         17 |         48 |        277 |
| frontend/src/assets/sass/components/mixins                                                                                                                   |         16 |      2,579 |        325 |        567 |      3,471 |
| frontend/src/assets/sass/components/utilities                                                                                                                |          8 |        518 |         77 |        145 |        740 |
| frontend/src/assets/sass/layout                                                                                                                              |         15 |      2,375 |        477 |        342 |      3,194 |
| frontend/src/assets/sass/pages                                                                                                                               |         21 |      1,784 |        236 |        403 |      2,423 |
| frontend/src/assets/sass/pages/error                                                                                                                         |          4 |         58 |         16 |         16 |         90 |
| frontend/src/assets/sass/pages/invoice                                                                                                                       |          1 |         12 |          4 |          4 |         20 |
| frontend/src/assets/sass/pages/login                                                                                                                         |         10 |      1,017 |        124 |        237 |      1,378 |
| frontend/src/assets/sass/pages/login/classic                                                                                                                 |          6 |        423 |         56 |        108 |        587 |
| frontend/src/assets/sass/pages/wizard                                                                                                                        |          6 |        697 |         92 |        146 |        935 |
| frontend/src/assets/sass/themes                                                                                                                              |          8 |        389 |         76 |        124 |        589 |
| frontend/src/assets/sass/themes/layout                                                                                                                       |          8 |        389 |         76 |        124 |        589 |
| frontend/src/assets/sass/themes/layout/aside                                                                                                                 |          2 |         17 |         15 |         12 |         44 |
| frontend/src/assets/sass/themes/layout/brand                                                                                                                 |          2 |        111 |         21 |         31 |        163 |
| frontend/src/assets/sass/themes/layout/header                                                                                                                |          4 |        261 |         40 |         81 |        382 |
| frontend/src/assets/sass/themes/layout/header/base                                                                                                           |          2 |        248 |         25 |         70 |        343 |
| frontend/src/assets/sass/themes/layout/header/menu                                                                                                           |          2 |         13 |         15 |         11 |         39 |
| frontend/src/assets/sass/vendors                                                                                                                             |         51 |      4,066 |        285 |        956 |      5,307 |
| frontend/src/assets/sass/vendors/plugins                                                                                                                     |         45 |      4,027 |        273 |        943 |      5,243 |
| frontend/src/assets/sass/vendors/plugins/mixins                                                                                                              |          1 |         91 |          4 |         20 |        115 |
| frontend/src/assets/sass/vendors/vue                                                                                                                         |          6 |         39 |         12 |         13 |         64 |
| frontend/src/assets/sass/vendors/vue/bootstrap-vue                                                                                                           |          1 |          1 |          5 |          3 |          9 |
| frontend/src/assets/sass/vendors/vue/vuetify                                                                                                                 |          2 |         10 |          2 |          3 |         15 |
| frontend/src/core                                                                                                                                            |         30 |      1,339 |        224 |        166 |      1,729 |
| frontend/src/core/config                                                                                                                                     |          3 |        357 |          2 |          3 |        362 |
| frontend/src/core/config/i18n                                                                                                                                |          2 |        202 |          2 |          2 |        206 |
| frontend/src/core/plugins                                                                                                                                    |          9 |        161 |         18 |         54 |        233 |
| frontend/src/core/services                                                                                                                                   |         18 |        821 |        204 |        109 |      1,134 |
| frontend/src/core/services/store                                                                                                                             |         12 |        547 |         72 |         47 |        666 |
| frontend/src/graphql                                                                                                                                         |          2 |        186 |         33 |         14 |        233 |
| frontend/src/view                                                                                                                                            |        192 |     59,244 |      3,734 |      1,490 |     64,468 |
| frontend/src/view/content                                                                                                                                    |         11 |      6,206 |        247 |         91 |      6,544 |
| frontend/src/view/content/ag-grid                                                                                                                            |          1 |        226 |         18 |         25 |        269 |
| frontend/src/view/content/charts                                                                                                                             |          1 |         75 |          2 |          1 |         78 |
| frontend/src/view/content/d3                                                                                                                                 |          2 |      5,272 |        192 |         43 |      5,507 |
| frontend/src/view/content/d3/data                                                                                                                            |          1 |      4,482 |          0 |          0 |      4,482 |
| frontend/src/view/content/dropdown                                                                                                                           |          1 |        115 |          0 |          5 |        120 |
| frontend/src/view/layout                                                                                                                                     |         26 |      4,430 |        275 |        190 |      4,895 |
| frontend/src/view/layout/aside                                                                                                                               |          5 |      1,250 |         45 |         31 |      1,326 |
| frontend/src/view/layout/brand                                                                                                                               |          1 |         67 |          3 |          7 |         77 |
| frontend/src/view/layout/extras                                                                                                                              |         13 |      2,050 |        116 |         84 |      2,250 |
| frontend/src/view/layout/extras/dropdown                                                                                                                     |          7 |        944 |         46 |         41 |      1,031 |
| frontend/src/view/layout/extras/offcanvas                                                                                                                    |          3 |        813 |         25 |         32 |        870 |
| frontend/src/view/layout/footer                                                                                                                              |          1 |         51 |          3 |          4 |         58 |
| frontend/src/view/layout/header                                                                                                                              |          4 |        619 |         58 |         39 |        716 |
| frontend/src/view/layout/subheader                                                                                                                           |          1 |        175 |          3 |         10 |        188 |
| frontend/src/view/pages                                                                                                                                      |        155 |     48,608 |      3,212 |      1,209 |     53,029 |
| frontend/src/view/pages/Commodities                                                                                                                          |          2 |      2,022 |        201 |         53 |      2,276 |
| frontend/src/view/pages/Crypto                                                                                                                               |          9 |      2,601 |        400 |         74 |      3,075 |
| frontend/src/view/pages/Crypto/Widgets                                                                                                                       |          6 |      2,031 |        318 |         59 |      2,408 |
| frontend/src/view/pages/Fund                                                                                                                                 |          4 |      2,082 |        216 |         76 |      2,374 |
| frontend/src/view/pages/Fund/Widgets                                                                                                                         |          2 |      1,410 |        164 |         51 |      1,625 |
| frontend/src/view/pages/Kala                                                                                                                                 |          3 |         34 |          2 |          4 |         40 |
| frontend/src/view/pages/MarketMap                                                                                                                            |          1 |         93 |         37 |         12 |        142 |
| frontend/src/view/pages/Oraq                                                                                                                                 |          1 |        509 |         39 |         23 |        571 |
| frontend/src/view/pages/Saham                                                                                                                                |         16 |      9,292 |        438 |        148 |      9,878 |
| frontend/src/view/pages/Saham/Majame                                                                                                                         |          4 |      1,062 |        158 |         27 |      1,247 |
| frontend/src/view/pages/Saham/Majame/content                                                                                                                 |          1 |        506 |         16 |         15 |        537 |
| frontend/src/view/pages/Saham/Technical                                                                                                                      |          8 |      7,074 |        198 |         41 |      7,313 |
| frontend/src/view/pages/Saham/Technical/api                                                                                                                  |          4 |      6,887 |        161 |         33 |      7,081 |
